File: go-cpu-profile
Type: cpu
Time: 2026-09-08 09:11:21 EEST
Duration: 2.97s, Total samples = 2630ms (88.56%)
Active filters:
   tagfocus=phase=bind
Showing nodes accounting for 510ms, 19.39% of 2630ms total
Showing top 30 nodes out of 108
      flat  flat%   sum%        cum   cum%
         0     0%     0%      510ms 19.39%  runtime.systemstack
         0     0%     0%      500ms 19.01%  runtime.(*mheap).alloc.func1
         0     0%     0%      500ms 19.01%  runtime.(*mheap).allocSpan
     490ms 18.63% 18.63%      490ms 18.63%  runtime.madvise
         0     0% 18.63%      490ms 18.63%  runtime.sysUsed (inline)
         0     0% 18.63%      490ms 18.63%  runtime.sysUsedOS (inline)
         0     0% 18.63%      180ms  6.84%  github.com/microsoft/TypeScript/tsc/internal/binder.(*Binder).bind
         0     0% 18.63%      180ms  6.84%  github.com/microsoft/TypeScript/tsc/internal/binder.(*Binder).bindChildren
         0     0% 18.63%      180ms  6.84%  github.com/microsoft/TypeScript/tsc/internal/binder.(*Binder).bindContainer
         0     0% 18.63%      170ms  6.46%  github.com/microsoft/TypeScript/tsc/internal/ast.(*Node).ForEachChild
         0     0% 18.63%      170ms  6.46%  github.com/microsoft/TypeScript/tsc/internal/binder.(*Binder).bindEachChild (inline)
         0     0% 18.63%      170ms  6.46%  github.com/microsoft/TypeScript/tsc/internal/binder.(*Binder).bindEachStatementFunctionsFirst
         0     0% 18.63%      150ms  5.70%  github.com/microsoft/TypeScript/tsc/internal/ast.visitNodeList (inline)
         0     0% 18.63%      150ms  5.70%  github.com/microsoft/TypeScript/tsc/internal/ast.visitNodes (inline)
         0     0% 18.63%      120ms  4.56%  github.com/microsoft/TypeScript/tsc/internal/ast.visit (inline)
         0     0% 18.63%      120ms  4.56%  github.com/microsoft/TypeScript/tsc/internal/binder.(*Binder).declareSymbolAndAddToSymbolTable
         0     0% 18.63%      100ms  3.80%  github.com/microsoft/TypeScript/tsc/internal/ast.(*SourceFile).BindOnce
         0     0% 18.63%      100ms  3.80%  github.com/microsoft/TypeScript/tsc/internal/ast.(*SourceFile).BindOnce.func1
         0     0% 18.63%      100ms  3.80%  github.com/microsoft/TypeScript/tsc/internal/binder.(*Binder).bindPropertyOrMethodOrAccessor
         0     0% 18.63%      100ms  3.80%  github.com/microsoft/TypeScript/tsc/internal/binder.(*Binder).declareSymbol (inline)
      20ms  0.76% 19.39%      100ms  3.80%  github.com/microsoft/TypeScript/tsc/internal/binder.(*Binder).declareSymbolEx
         0     0% 19.39%      100ms  3.80%  github.com/microsoft/TypeScript/tsc/internal/binder.BindSourceFile
         0     0% 19.39%      100ms  3.80%  github.com/microsoft/TypeScript/tsc/internal/binder.bindSourceFile (inline)
         0     0% 19.39%      100ms  3.80%  github.com/microsoft/TypeScript/tsc/internal/binder.bindSourceFile.func1
         0     0% 19.39%      100ms  3.80%  main.main.func1
         0     0% 19.39%      100ms  3.80%  main.main.func1.1
         0     0% 19.39%      100ms  3.80%  main.main.func1.1.3
         0     0% 19.39%      100ms  3.80%  runtime/pprof.Do
         0     0% 19.39%      100ms  3.80%  sync.(*Once).Do (inline)
         0     0% 19.39%      100ms  3.80%  sync.(*Once).doSlow
