File: go-cpu-profile
Type: cpu
Time: 2026-09-08 09:11:21 EEST
Duration: 2.97s, Total samples = 2630ms (88.56%)
Showing nodes accounting for 2510ms, 95.44% of 2630ms total
Dropped 115 nodes (cum <= 13.15ms)
Showing top 40 nodes out of 197
      flat  flat%   sum%        cum   cum%
    1610ms 61.22% 61.22%     1610ms 61.22%  runtime.madvise
     140ms  5.32% 66.54%      180ms  6.84%  github.com/microsoft/TypeScript/tsc/internal/ast.(*NodeFactory).NewIdentifier
     140ms  5.32% 71.86%      140ms  5.32%  runtime.(*mspan).typePointersOfUnchecked
     140ms  5.32% 77.19%      140ms  5.32%  runtime.heapSetTypeSmallHeader (inline)
     100ms  3.80% 80.99%      110ms  4.18%  runtime.tryDeferToSpanScan
      50ms  1.90% 82.89%       50ms  1.90%  runtime.(*mspan).init
      50ms  1.90% 84.79%       50ms  1.90%  runtime.memclrNoHeapPointers
      30ms  1.14% 85.93%      280ms 10.65%  runtime.scanObject
      20ms  0.76% 86.69%       30ms  1.14%  github.com/microsoft/TypeScript/tsc/internal/ast.(*NodeFactory).NewCallExpression
      20ms  0.76% 87.45%       30ms  1.14%  github.com/microsoft/TypeScript/tsc/internal/ast.(*NodeFactory).NewPropertyAccessExpression
      20ms  0.76% 88.21%       20ms  0.76%  github.com/microsoft/TypeScript/tsc/internal/ast.(*NodeFactory).NewStringLiteral
      20ms  0.76% 88.97%      100ms  3.80%  github.com/microsoft/TypeScript/tsc/internal/binder.(*Binder).declareSymbolEx
      20ms  0.76% 89.73%       50ms  1.90%  github.com/microsoft/TypeScript/tsc/internal/binder.(*Binder).newSymbol
      20ms  0.76% 90.49%       20ms  0.76%  internal/runtime/atomic.(*Uint8).Load (inline)
      20ms  0.76% 91.25%       20ms  0.76%  runtime.markBits.setMarked (inline)
      20ms  0.76% 92.02%       90ms  3.42%  runtime.scanObjectsSmall
      20ms  0.76% 92.78%       20ms  0.76%  runtime.spanOf (inline)
      20ms  0.76% 93.54%       20ms  0.76%  runtime.typePointers.next
      10ms  0.38% 93.92%       20ms  0.76%  github.com/microsoft/TypeScript/tsc/internal/ast.(*NodeFactory).NewBlock
      10ms  0.38% 94.30%       40ms  1.52%  github.com/microsoft/TypeScript/tsc/internal/ast.(*NodeFactory).NewNodeList
      10ms  0.38% 94.68%       40ms  1.52%  github.com/microsoft/TypeScript/tsc/internal/binder.(*Binder).newFlowNode (inline)
      10ms  0.38% 95.06%       20ms  0.76%  runtime.mapassign_faststr
      10ms  0.38% 95.44%       20ms  0.76%  runtime.scanObjectSmall
         0     0% 95.44%       70ms  2.66%  github.com/microsoft/TypeScript/tsc/internal/ast.(*ArrowFunction).ForEachChild
         0     0% 95.44%       80ms  3.04%  github.com/microsoft/TypeScript/tsc/internal/ast.(*CallExpression).ForEachChild
         0     0% 95.44%       90ms  3.42%  github.com/microsoft/TypeScript/tsc/internal/ast.(*ClassDeclaration).ForEachChild
         0     0% 95.44%       20ms  0.76%  github.com/microsoft/TypeScript/tsc/internal/ast.(*FunctionDeclaration).ForEachChild
         0     0% 95.44%       40ms  1.52%  github.com/microsoft/TypeScript/tsc/internal/ast.(*MethodDeclaration).ForEachChild
         0     0% 95.44%      170ms  6.46%  github.com/microsoft/TypeScript/tsc/internal/ast.(*Node).ForEachChild
         0     0% 95.44%       50ms  1.90%  github.com/microsoft/TypeScript/tsc/internal/ast.(*ObjectLiteralExpression).ForEachChild (inline)
         0     0% 95.44%      100ms  3.80%  github.com/microsoft/TypeScript/tsc/internal/ast.(*SourceFile).BindOnce
         0     0% 95.44%      100ms  3.80%  github.com/microsoft/TypeScript/tsc/internal/ast.(*SourceFile).BindOnce.func1
         0     0% 95.44%       50ms  1.90%  github.com/microsoft/TypeScript/tsc/internal/ast.(*VariableDeclaration).ForEachChild
         0     0% 95.44%       40ms  1.52%  github.com/microsoft/TypeScript/tsc/internal/ast.(*VariableDeclarationList).ForEachChild (inline)
         0     0% 95.44%       40ms  1.52%  github.com/microsoft/TypeScript/tsc/internal/ast.(*VariableStatement).ForEachChild
         0     0% 95.44%       20ms  0.76%  github.com/microsoft/TypeScript/tsc/internal/ast.GetLocals
         0     0% 95.44%       20ms  0.76%  github.com/microsoft/TypeScript/tsc/internal/ast.GetSymbolTable (inline)
         0     0% 95.44%      120ms  4.56%  github.com/microsoft/TypeScript/tsc/internal/ast.visit (inline)
         0     0% 95.44%      150ms  5.70%  github.com/microsoft/TypeScript/tsc/internal/ast.visitNodeList (inline)
         0     0% 95.44%      150ms  5.70%  github.com/microsoft/TypeScript/tsc/internal/ast.visitNodes (inline)
