File: go-cpu-profile
Type: cpu
Time: 2026-09-08 09:11:42 EEST
Duration: 3.42s, Total samples = 3040ms (88.81%)
Active filters:
   tagfocus=phase=bind
Showing nodes accounting for 690ms, 22.70% of 3040ms total
Showing top 30 nodes out of 128
      flat  flat%   sum%        cum   cum%
     480ms 15.79% 15.79%      480ms 15.79%  runtime.madvise
      40ms  1.32% 17.11%       70ms  2.30%  github.com/microsoft/TypeScript/tsc/internal/binder.(*Binder).newFlowNode (inline)
      40ms  1.32% 18.42%       40ms  1.32%  runtime.heapSetTypeSmallHeader (inline)
      20ms  0.66% 19.08%       30ms  0.99%  github.com/microsoft/TypeScript/tsc/internal/binder.(*Binder).addDeclarationToSymbol
      20ms  0.66% 19.74%       20ms  0.66%  runtime.memclrNoHeapPointers
      10ms  0.33% 20.07%       10ms  0.33%  github.com/microsoft/TypeScript/tsc/internal/ast.(*Node).Modifiers (inline)
      10ms  0.33% 20.39%      210ms  6.91%  github.com/microsoft/TypeScript/tsc/internal/binder.(*Binder).bind
      10ms  0.33% 20.72%       80ms  2.63%  github.com/microsoft/TypeScript/tsc/internal/binder.(*Binder).declareSymbolEx
      10ms  0.33% 21.05%       10ms  0.33%  github.com/microsoft/TypeScript/tsc/internal/binder.(*Binder).newSingleDeclaration
      10ms  0.33% 21.38%       10ms  0.33%  runtime.(*mspan).moveInlineMarks
      10ms  0.33% 21.71%       10ms  0.33%  runtime.(*mspan).typePointersOfUnchecked
      10ms  0.33% 22.04%      100ms  3.29%  runtime.mallocgc
      10ms  0.33% 22.37%       10ms  0.33%  runtime.tryDeferToSpanScan
      10ms  0.33% 22.70%       10ms  0.33%  runtime.wbBufFlush1
         0     0% 22.70%       10ms  0.33%  gcWriteBarrier
         0     0% 22.70%       20ms  0.66%  github.com/microsoft/TypeScript/tsc/internal/ast.(*ArrayLiteralExpression).ForEachChild (inline)
         0     0% 22.70%       60ms  1.97%  github.com/microsoft/TypeScript/tsc/internal/ast.(*ArrowFunction).ForEachChild
         0     0% 22.70%       10ms  0.33%  github.com/microsoft/TypeScript/tsc/internal/ast.(*AwaitExpression).ForEachChild (inline)
         0     0% 22.70%      100ms  3.29%  github.com/microsoft/TypeScript/tsc/internal/ast.(*CallExpression).ForEachChild
         0     0% 22.70%       10ms  0.33%  github.com/microsoft/TypeScript/tsc/internal/ast.(*CatchClause).ForEachChild (inline)
         0     0% 22.70%       50ms  1.64%  github.com/microsoft/TypeScript/tsc/internal/ast.(*ClassDeclaration).ForEachChild
         0     0% 22.70%       60ms  1.97%  github.com/microsoft/TypeScript/tsc/internal/ast.(*FunctionDeclaration).ForEachChild
         0     0% 22.70%       30ms  0.99%  github.com/microsoft/TypeScript/tsc/internal/ast.(*FunctionExpression).ForEachChild
         0     0% 22.70%       10ms  0.33%  github.com/microsoft/TypeScript/tsc/internal/ast.(*ImportClause).ForEachChild (inline)
         0     0% 22.70%       10ms  0.33%  github.com/microsoft/TypeScript/tsc/internal/ast.(*ImportDeclaration).ForEachChild
         0     0% 22.70%       10ms  0.33%  github.com/microsoft/TypeScript/tsc/internal/ast.(*JsxElement).ForEachChild
         0     0% 22.70%       10ms  0.33%  github.com/microsoft/TypeScript/tsc/internal/ast.(*JsxExpression).ForEachChild (inline)
         0     0% 22.70%       40ms  1.32%  github.com/microsoft/TypeScript/tsc/internal/ast.(*MethodDeclaration).ForEachChild
         0     0% 22.70%       20ms  0.66%  github.com/microsoft/TypeScript/tsc/internal/ast.(*ModuleDeclaration).ForEachChild
         0     0% 22.70%       10ms  0.33%  github.com/microsoft/TypeScript/tsc/internal/ast.(*NamedImports).ForEachChild (inline)
