File: go-cpu-profile
Type: cpu
Time: 2026-09-08 09:11:42 EEST
Duration: 3.42s, Total samples = 3040ms (88.81%)
Showing nodes accounting for 1750ms, 57.57% of 3040ms total
Dropped 73 nodes (cum <= 15.20ms)
Showing top 40 nodes out of 247
      flat  flat%   sum%        cum   cum%
         0     0%     0%     2270ms 74.67%  runtime.systemstack
         0     0%     0%     1720ms 56.58%  runtime.(*mheap).alloc.func1
         0     0%     0%     1720ms 56.58%  runtime.(*mheap).allocSpan
    1670ms 54.93% 54.93%     1670ms 54.93%  runtime.madvise
         0     0% 54.93%     1670ms 54.93%  runtime.sysUsed (inline)
         0     0% 54.93%     1670ms 54.93%  runtime.sysUsedOS (inline)
         0     0% 54.93%      620ms 20.39%  github.com/microsoft/TypeScript/tsc/internal/parser.(*Parser).parseListIndex
         0     0% 54.93%      620ms 20.39%  github.com/microsoft/TypeScript/tsc/internal/parser.(*Parser).parseStatement
         0     0% 54.93%      550ms 18.09%  github.com/microsoft/TypeScript/tsc/internal/parser.(*Parser).parseList
         0     0% 54.93%      550ms 18.09%  github.com/microsoft/TypeScript/tsc/internal/parser.(*Parser).parseList.func1
         0     0% 54.93%      510ms 16.78%  github.com/microsoft/TypeScript/tsc/internal/parser.(*Parser).parseAssignmentExpressionOrHigher (inline)
         0     0% 54.93%      510ms 16.78%  github.com/microsoft/TypeScript/tsc/internal/parser.(*Parser).parseAssignmentExpressionOrHigherWorker
         0     0% 54.93%      500ms 16.45%  github.com/microsoft/TypeScript/tsc/internal/parser.(*Parser).parseBinaryExpressionOrHigher
         0     0% 54.93%      500ms 16.45%  github.com/microsoft/TypeScript/tsc/internal/parser.(*Parser).parseUnaryExpressionOrHigher
         0     0% 54.93%      490ms 16.12%  github.com/microsoft/TypeScript/tsc/internal/parser.(*Parser).parseBlock
         0     0% 54.93%      490ms 16.12%  github.com/microsoft/TypeScript/tsc/internal/parser.(*Parser).parseLeftHandSideExpressionOrHigher
         0     0% 54.93%      490ms 16.12%  github.com/microsoft/TypeScript/tsc/internal/parser.(*Parser).parseUpdateExpression
         0     0% 54.93%      490ms 16.12%  github.com/microsoft/TypeScript/tsc/internal/parser.doInContext[go.shape.*uint8] (inline)
         0     0% 54.93%      490ms 16.12%  runtime.gcBgMarkWorker
         0     0% 54.93%      480ms 15.79%  github.com/microsoft/TypeScript/tsc/internal/parser.(*Parser).parseFunctionBlock
         0     0% 54.93%      480ms 15.79%  runtime.gcBgMarkWorker.func2
         0     0% 54.93%      480ms 15.79%  runtime.gcDrain
         0     0% 54.93%      480ms 15.79%  runtime.gcDrainMarkWorkerFractional (inline)
         0     0% 54.93%      470ms 15.46%  runtime/pprof.Do
         0     0% 54.93%      460ms 15.13%  github.com/microsoft/TypeScript/tsc/internal/parser.(*Parser).parseDelimitedList
         0     0% 54.93%      460ms 15.13%  main.main.func1.1
         0     0% 54.93%      450ms 14.80%  main.main.func1
         0     0% 54.93%      420ms 13.82%  github.com/microsoft/TypeScript/tsc/internal/parser.(*Parser).parseDeclaration
         0     0% 54.93%      420ms 13.82%  github.com/microsoft/TypeScript/tsc/internal/parser.(*Parser).parseDeclarationWorker
         0     0% 54.93%      390ms 12.83%  github.com/microsoft/TypeScript/tsc/internal/parser.(*Parser).parseExpression
         0     0% 54.93%      380ms 12.50%  github.com/microsoft/TypeScript/tsc/internal/parser.(*Parser).parseMemberExpressionOrHigher
      80ms  2.63% 57.57%      380ms 12.50%  runtime.scanObject
         0     0% 57.57%      370ms 12.17%  github.com/microsoft/TypeScript/tsc/internal/parser.(*Parser).parseArgumentOrArrayLiteralElement
         0     0% 57.57%      370ms 12.17%  github.com/microsoft/TypeScript/tsc/internal/parser.(*Parser).parseCallExpressionRest
         0     0% 57.57%      370ms 12.17%  github.com/microsoft/TypeScript/tsc/internal/parser.(*Parser).parseSourceFileWorker
         0     0% 57.57%      370ms 12.17%  github.com/microsoft/TypeScript/tsc/internal/parser.(*Parser).parseToplevelStatement
         0     0% 57.57%      360ms 11.84%  github.com/microsoft/TypeScript/tsc/internal/parser.ParseSourceFile
         0     0% 57.57%      360ms 11.84%  main.main.func1.1.2
         0     0% 57.57%      350ms 11.51%  github.com/microsoft/TypeScript/tsc/internal/parser.(*Parser).parseArgumentExpression
         0     0% 57.57%      350ms 11.51%  github.com/microsoft/TypeScript/tsc/internal/parser.(*Parser).parseArgumentList
