File: go-cpu-profile
Type: cpu
Time: 2026-09-08 09:12:17 EEST
Duration: 824.59ms, Total samples = 3830ms (464.47%)
Active filters:
   tagfocus=phase=bind
Showing nodes accounting for 590ms, 15.40% of 3830ms total
Showing top 30 nodes out of 108
      flat  flat%   sum%        cum   cum%
         0     0%     0%      600ms 15.67%  runtime.systemstack
         0     0%     0%      590ms 15.40%  runtime.(*mheap).alloc.func1
         0     0%     0%      590ms 15.40%  runtime.(*mheap).allocSpan
     580ms 15.14% 15.14%      580ms 15.14%  runtime.madvise
         0     0% 15.14%      580ms 15.14%  runtime.sysUsed (inline)
         0     0% 15.14%      580ms 15.14%  runtime.sysUsedOS (inline)
      10ms  0.26% 15.40%      160ms  4.18%  github.com/microsoft/TypeScript/tsc/internal/binder.(*Binder).bind
         0     0% 15.40%      160ms  4.18%  github.com/microsoft/TypeScript/tsc/internal/binder.(*Binder).bindChildren
         0     0% 15.40%      160ms  4.18%  github.com/microsoft/TypeScript/tsc/internal/binder.(*Binder).bindContainer
         0     0% 15.40%      160ms  4.18%  github.com/microsoft/TypeScript/tsc/internal/binder.(*Binder).bindEachStatementFunctionsFirst
         0     0% 15.40%      150ms  3.92%  github.com/microsoft/TypeScript/tsc/internal/ast.(*Node).ForEachChild
         0     0% 15.40%      150ms  3.92%  github.com/microsoft/TypeScript/tsc/internal/binder.(*Binder).bindEachChild (inline)
         0     0% 15.40%      130ms  3.39%  github.com/microsoft/TypeScript/tsc/internal/ast.(*SourceFile).BindOnce.func1
         0     0% 15.40%      130ms  3.39%  github.com/microsoft/TypeScript/tsc/internal/ast.visit (inline)
         0     0% 15.40%      130ms  3.39%  github.com/microsoft/TypeScript/tsc/internal/ast.visitNodeList (inline)
         0     0% 15.40%      130ms  3.39%  github.com/microsoft/TypeScript/tsc/internal/ast.visitNodes (inline)
         0     0% 15.40%      130ms  3.39%  github.com/microsoft/TypeScript/tsc/internal/binder.bindSourceFile.func1
         0     0% 15.40%      130ms  3.39%  sync.(*Once).doSlow
         0     0% 15.40%      120ms  3.13%  runtime.mallocgc
         0     0% 15.40%      110ms  2.87%  github.com/microsoft/TypeScript/tsc/internal/ast.(*SourceFile).BindOnce
         0     0% 15.40%      110ms  2.87%  github.com/microsoft/TypeScript/tsc/internal/binder.BindSourceFile
         0     0% 15.40%      110ms  2.87%  github.com/microsoft/TypeScript/tsc/internal/binder.bindSourceFile (inline)
         0     0% 15.40%      110ms  2.87%  main.main.func1.1.3
         0     0% 15.40%      110ms  2.87%  sync.(*Once).Do (inline)
         0     0% 15.40%      100ms  2.61%  main.main.func1.1
         0     0% 15.40%      100ms  2.61%  runtime/pprof.Do
         0     0% 15.40%       90ms  2.35%  github.com/microsoft/TypeScript/tsc/internal/binder.(*Binder).declareSymbol (inline)
         0     0% 15.40%       90ms  2.35%  github.com/microsoft/TypeScript/tsc/internal/binder.(*Binder).declareSymbolEx
         0     0% 15.40%       90ms  2.35%  main.main.func1
         0     0% 15.40%       90ms  2.35%  runtime.growslice
