File: go-cpu-profile
Type: cpu
Time: 2026-09-08 09:12:40 EEST
Duration: 813.79ms, Total samples = 4080ms (501.36%)
Showing nodes accounting for 2530ms, 62.01% of 4080ms total
Dropped 244 nodes (cum <= 20.40ms)
Showing top 40 nodes out of 194
      flat  flat%   sum%        cum   cum%
         0     0%     0%     2980ms 73.04%  runtime.systemstack
         0     0%     0%     1880ms 46.08%  runtime.(*mheap).alloc.func1
         0     0%     0%     1880ms 46.08%  runtime.(*mheap).allocSpan
    1850ms 45.34% 45.34%     1850ms 45.34%  runtime.madvise
         0     0% 45.34%     1850ms 45.34%  runtime.sysUsed (inline)
         0     0% 45.34%     1850ms 45.34%  runtime.sysUsedOS (inline)
         0     0% 45.34%     1070ms 26.23%  runtime.gcBgMarkWorker
         0     0% 45.34%     1070ms 26.23%  runtime.gcBgMarkWorker.func2
         0     0% 45.34%     1070ms 26.23%  runtime.gcDrain
     160ms  3.92% 49.26%      900ms 22.06%  runtime.scanObject
         0     0% 49.26%      690ms 16.91%  github.com/microsoft/TypeScript/tsc/internal/parser.(*Parser).parseListIndex
         0     0% 49.26%      690ms 16.91%  github.com/microsoft/TypeScript/tsc/internal/parser.(*Parser).parseStatement
         0     0% 49.26%      680ms 16.67%  main.main.func1.1
         0     0% 49.26%      680ms 16.67%  runtime/pprof.Do
         0     0% 49.26%      670ms 16.42%  main.main.func1
         0     0% 49.26%      670ms 16.42%  runtime.mallocgc
         0     0% 49.26%      660ms 16.18%  github.com/microsoft/TypeScript/tsc/internal/parser.(*Parser).parseList
         0     0% 49.26%      640ms 15.69%  github.com/microsoft/TypeScript/tsc/internal/parser.(*Parser).parseList.func1
         0     0% 49.26%      570ms 13.97%  runtime.gcDrainMarkWorkerIdle (inline)
         0     0% 49.26%      570ms 13.97%  runtime.growslice
         0     0% 49.26%      550ms 13.48%  github.com/microsoft/TypeScript/tsc/internal/parser.(*Parser).parseBlock
         0     0% 49.26%      550ms 13.48%  github.com/microsoft/TypeScript/tsc/internal/parser.(*Parser).parseFunctionBlock
         0     0% 49.26%      520ms 12.75%  github.com/microsoft/TypeScript/tsc/internal/parser.(*Parser).parseDeclaration
         0     0% 49.26%      520ms 12.75%  github.com/microsoft/TypeScript/tsc/internal/parser.(*Parser).parseDeclarationWorker
     510ms 12.50% 61.76%      510ms 12.50%  runtime.memclrNoHeapPointers
         0     0% 61.76%      500ms 12.25%  github.com/microsoft/TypeScript/tsc/internal/parser.(*Parser).parseAssignmentExpressionOrHigher (inline)
         0     0% 61.76%      500ms 12.25%  github.com/microsoft/TypeScript/tsc/internal/parser.(*Parser).parseAssignmentExpressionOrHigherWorker
         0     0% 61.76%      500ms 12.25%  github.com/microsoft/TypeScript/tsc/internal/parser.(*Parser).parseToplevelStatement
         0     0% 61.76%      500ms 12.25%  runtime.gcDrainMarkWorkerDedicated (inline)
         0     0% 61.76%      490ms 12.01%  github.com/microsoft/TypeScript/tsc/internal/parser.(*Parser).parseSourceFileWorker
         0     0% 61.76%      490ms 12.01%  github.com/microsoft/TypeScript/tsc/internal/parser.ParseSourceFile
         0     0% 61.76%      490ms 12.01%  main.main.func1.1.2
         0     0% 61.76%      480ms 11.76%  github.com/microsoft/TypeScript/tsc/internal/parser.(*Parser).parseDelimitedList
         0     0% 61.76%      470ms 11.52%  github.com/microsoft/TypeScript/tsc/internal/parser.(*Parser).parseBinaryExpressionOrHigher
      10ms  0.25% 62.01%      470ms 11.52%  runtime.mallocgcSmallScanHeader
         0     0% 62.01%      450ms 11.03%  github.com/microsoft/TypeScript/tsc/internal/parser.(*Parser).parseUnaryExpressionOrHigher
         0     0% 62.01%      440ms 10.78%  github.com/microsoft/TypeScript/tsc/internal/parser.(*Parser).parseLeftHandSideExpressionOrHigher
         0     0% 62.01%      440ms 10.78%  github.com/microsoft/TypeScript/tsc/internal/parser.(*Parser).parseUpdateExpression
         0     0% 62.01%      430ms 10.54%  github.com/microsoft/TypeScript/tsc/internal/parser.doInContext[go.shape.*uint8] (inline)
         0     0% 62.01%      400ms  9.80%  github.com/microsoft/TypeScript/tsc/internal/parser.(*Parser).parseExpression
