File: go-cpu-profile
Type: cpu
Time: 2026-09-08 09:12:40 EEST
Duration: 813.79ms, Total samples = 4080ms (501.36%)
Showing nodes accounting for 3650ms, 89.46% of 4080ms total
Dropped 244 nodes (cum <= 20.40ms)
Showing top 40 nodes out of 194
      flat  flat%   sum%        cum   cum%
    1850ms 45.34% 45.34%     1850ms 45.34%  runtime.madvise
     510ms 12.50% 57.84%      510ms 12.50%  runtime.memclrNoHeapPointers
     370ms  9.07% 66.91%      370ms  9.07%  runtime.(*mspan).typePointersOfUnchecked
     260ms  6.37% 73.28%      300ms  7.35%  runtime.tryDeferToSpanScan
     160ms  3.92% 77.21%      900ms 22.06%  runtime.scanObject
      80ms  1.96% 79.17%       80ms  1.96%  runtime.heapSetTypeSmallHeader (inline)
      60ms  1.47% 80.64%      210ms  5.15%  github.com/microsoft/TypeScript/tsc/internal/ast.(*NodeFactory).NewIdentifier
      60ms  1.47% 82.11%       90ms  2.21%  runtime.findObject
      40ms  0.98% 83.09%      170ms  4.17%  runtime.scanObjectsSmall
      40ms  0.98% 84.07%       70ms  1.72%  runtime.typePointers.next
      30ms  0.74% 84.80%       80ms  1.96%  github.com/microsoft/TypeScript/tsc/internal/binder.(*Binder).newSymbol
      30ms  0.74% 85.54%       30ms  0.74%  runtime.getGCMask (inline)
      20ms  0.49% 86.03%       40ms  0.98%  runtime.greyobject
      10ms  0.25% 86.27%      350ms  8.58%  github.com/microsoft/TypeScript/tsc/internal/ast.(*Node).ForEachChild
      10ms  0.25% 86.52%       30ms  0.74%  github.com/microsoft/TypeScript/tsc/internal/ast.(*NodeFactory).NewCallExpression
      10ms  0.25% 86.76%       30ms  0.74%  github.com/microsoft/TypeScript/tsc/internal/binder.(*Binder).addDeclarationToSymbol
      10ms  0.25% 87.01%      360ms  8.82%  github.com/microsoft/TypeScript/tsc/internal/binder.(*Binder).bind
      10ms  0.25% 87.25%      160ms  3.92%  github.com/microsoft/TypeScript/tsc/internal/binder.(*Binder).bindCallExpressionFlow
      10ms  0.25% 87.50%      350ms  8.58%  github.com/microsoft/TypeScript/tsc/internal/binder.(*Binder).bindContainer
      10ms  0.25% 87.75%       70ms  1.72%  github.com/microsoft/TypeScript/tsc/internal/binder.(*Binder).newFlowNode (inline)
      10ms  0.25% 87.99%       40ms  0.98%  github.com/microsoft/TypeScript/tsc/internal/parser.(*Parser).parseOptional (inline)
      10ms  0.25% 88.24%       60ms  1.47%  github.com/microsoft/TypeScript/tsc/internal/parser.(*Parser).parseParameterEx
      10ms  0.25% 88.48%       40ms  0.98%  github.com/microsoft/TypeScript/tsc/internal/parser.(*Parser).parseSimpleUnaryExpression
      10ms  0.25% 88.73%       30ms  0.74%  github.com/microsoft/TypeScript/tsc/internal/scanner.(*Scanner).scanIdentifier
      10ms  0.25% 88.97%      470ms 11.52%  runtime.mallocgcSmallScanHeader
      10ms  0.25% 89.22%       30ms  0.74%  runtime.mallocgcSmallScanNoHeaderSC4
      10ms  0.25% 89.46%      180ms  4.41%  runtime.scanSpan
         0     0% 89.46%       30ms  0.74%  github.com/microsoft/TypeScript/tsc/internal/ast.(*ArrayLiteralExpression).ForEachChild (inline)
         0     0% 89.46%       90ms  2.21%  github.com/microsoft/TypeScript/tsc/internal/ast.(*ArrowFunction).ForEachChild
         0     0% 89.46%      130ms  3.19%  github.com/microsoft/TypeScript/tsc/internal/ast.(*CallExpression).ForEachChild
         0     0% 89.46%      130ms  3.19%  github.com/microsoft/TypeScript/tsc/internal/ast.(*ClassDeclaration).ForEachChild
         0     0% 89.46%       50ms  1.23%  github.com/microsoft/TypeScript/tsc/internal/ast.(*FunctionDeclaration).ForEachChild
         0     0% 89.46%       70ms  1.72%  github.com/microsoft/TypeScript/tsc/internal/ast.(*MethodDeclaration).ForEachChild
         0     0% 89.46%       30ms  0.74%  github.com/microsoft/TypeScript/tsc/internal/ast.(*NodeFactory).NewModifierList
         0     0% 89.46%       30ms  0.74%  github.com/microsoft/TypeScript/tsc/internal/ast.(*NodeFactory).NewPropertyAssignment
         0     0% 89.46%       30ms  0.74%  github.com/microsoft/TypeScript/tsc/internal/ast.(*NodeFactory).NewVariableDeclarationList
         0     0% 89.46%       90ms  2.21%  github.com/microsoft/TypeScript/tsc/internal/ast.(*ObjectLiteralExpression).ForEachChild (inline)
         0     0% 89.46%       30ms  0.74%  github.com/microsoft/TypeScript/tsc/internal/ast.(*PropertyAccessExpression).ForEachChild
         0     0% 89.46%       40ms  0.98%  github.com/microsoft/TypeScript/tsc/internal/ast.(*PropertyAssignment).ForEachChild
         0     0% 89.46%      220ms  5.39%  github.com/microsoft/TypeScript/tsc/internal/ast.(*SourceFile).BindOnce
