File: go-cpu-profile
Type: cpu
Time: 2026-09-08 09:12:47 EEST
Duration: 808.72ms, Total samples = 3600ms (445.15%)
Active filters:
   tagfocus=phase=bind
Showing nodes accounting for 670ms, 18.61% of 3600ms total
Showing top 30 nodes out of 93
      flat  flat%   sum%        cum   cum%
     530ms 14.72% 14.72%      530ms 14.72%  runtime.madvise
      60ms  1.67% 16.39%       60ms  1.67%  runtime.memclrNoHeapPointers
      20ms  0.56% 16.94%       20ms  0.56%  github.com/microsoft/TypeScript/tsc/internal/binder.(*Binder).addDeclarationToSymbol
      20ms  0.56% 17.50%       30ms  0.83%  github.com/microsoft/TypeScript/tsc/internal/binder.(*Binder).newFlowNode (inline)
      10ms  0.28% 17.78%      130ms  3.61%  github.com/microsoft/TypeScript/tsc/internal/ast.visitNodes (inline)
      10ms  0.28% 18.06%       10ms  0.28%  github.com/microsoft/TypeScript/tsc/internal/binder.(*Binder).addAntecedent
      10ms  0.28% 18.33%       60ms  1.67%  github.com/microsoft/TypeScript/tsc/internal/binder.(*Binder).declareSymbolEx
      10ms  0.28% 18.61%       10ms  0.28%  internal/runtime/atomic.(*Uint64).Add (inline)
         0     0% 18.61%       30ms  0.83%  github.com/microsoft/TypeScript/tsc/internal/ast.(*ArrayLiteralExpression).ForEachChild (inline)
         0     0% 18.61%       70ms  1.94%  github.com/microsoft/TypeScript/tsc/internal/ast.(*ArrowFunction).ForEachChild
         0     0% 18.61%       10ms  0.28%  github.com/microsoft/TypeScript/tsc/internal/ast.(*AsExpression).ForEachChild (inline)
         0     0% 18.61%       30ms  0.83%  github.com/microsoft/TypeScript/tsc/internal/ast.(*AwaitExpression).ForEachChild (inline)
         0     0% 18.61%       70ms  1.94%  github.com/microsoft/TypeScript/tsc/internal/ast.(*CallExpression).ForEachChild
         0     0% 18.61%       20ms  0.56%  github.com/microsoft/TypeScript/tsc/internal/ast.(*ClassDeclaration).ForEachChild
         0     0% 18.61%       50ms  1.39%  github.com/microsoft/TypeScript/tsc/internal/ast.(*FunctionDeclaration).ForEachChild
         0     0% 18.61%       10ms  0.28%  github.com/microsoft/TypeScript/tsc/internal/ast.(*InterfaceDeclaration).ForEachChild
         0     0% 18.61%       10ms  0.28%  github.com/microsoft/TypeScript/tsc/internal/ast.(*MethodDeclaration).ForEachChild
         0     0% 18.61%      140ms  3.89%  github.com/microsoft/TypeScript/tsc/internal/ast.(*Node).ForEachChild
         0     0% 18.61%       70ms  1.94%  github.com/microsoft/TypeScript/tsc/internal/ast.(*ObjectLiteralExpression).ForEachChild (inline)
         0     0% 18.61%       20ms  0.56%  github.com/microsoft/TypeScript/tsc/internal/ast.(*PropertyAssignment).ForEachChild
         0     0% 18.61%       10ms  0.28%  github.com/microsoft/TypeScript/tsc/internal/ast.(*PropertyDeclaration).ForEachChild
         0     0% 18.61%       10ms  0.28%  github.com/microsoft/TypeScript/tsc/internal/ast.(*PropertySignatureDeclaration).ForEachChild
         0     0% 18.61%       70ms  1.94%  github.com/microsoft/TypeScript/tsc/internal/ast.(*SourceFile).BindOnce
         0     0% 18.61%       70ms  1.94%  github.com/microsoft/TypeScript/tsc/internal/ast.(*SourceFile).BindOnce.func1
         0     0% 18.61%       10ms  0.28%  github.com/microsoft/TypeScript/tsc/internal/ast.(*TypeLiteralNode).ForEachChild (inline)
         0     0% 18.61%       10ms  0.28%  github.com/microsoft/TypeScript/tsc/internal/ast.(*VariableDeclaration).ForEachChild
         0     0% 18.61%       20ms  0.56%  github.com/microsoft/TypeScript/tsc/internal/ast.(*VariableDeclarationList).ForEachChild (inline)
         0     0% 18.61%       20ms  0.56%  github.com/microsoft/TypeScript/tsc/internal/ast.(*VariableStatement).ForEachChild
         0     0% 18.61%      140ms  3.89%  github.com/microsoft/TypeScript/tsc/internal/ast.visit (inline)
         0     0% 18.61%      130ms  3.61%  github.com/microsoft/TypeScript/tsc/internal/ast.visitNodeList (inline)
