File: go-cpu-profile
Type: cpu
Time: 2026-09-08 09:12:47 EEST
Duration: 808.72ms, Total samples = 3600ms (445.15%)
Showing nodes accounting for 3460ms, 96.11% of 3600ms total
Dropped 134 nodes (cum <= 18ms)
Showing top 40 nodes out of 222
      flat  flat%   sum%        cum   cum%
    1950ms 54.17% 54.17%     1950ms 54.17%  runtime.madvise
     400ms 11.11% 65.28%      400ms 11.11%  runtime.memclrNoHeapPointers
     300ms  8.33% 73.61%      300ms  8.33%  runtime.(*mspan).typePointersOfUnchecked
     200ms  5.56% 79.17%      240ms  6.67%  runtime.tryDeferToSpanScan
     150ms  4.17% 83.33%      710ms 19.72%  runtime.scanObject
      60ms  1.67% 85.00%       60ms  1.67%  runtime.pthread_cond_wait
      40ms  1.11% 86.11%       40ms  1.11%  runtime.heapSetTypeSmallHeader (inline)
      40ms  1.11% 87.22%      150ms  4.17%  runtime.scanObjectsSmall
      40ms  1.11% 88.33%       40ms  1.11%  runtime.typePointers.next
      30ms  0.83% 89.17%       30ms  0.83%  runtime.alignDown (inline)
      30ms  0.83% 90.00%       50ms  1.39%  runtime.findObject
      30ms  0.83% 90.83%       30ms  0.83%  runtime.greyobject
      30ms  0.83% 91.67%       30ms  0.83%  runtime.mmap
      20ms  0.56% 92.22%      150ms  4.17%  github.com/microsoft/TypeScript/tsc/internal/ast.(*NodeFactory).NewIdentifier
      20ms  0.56% 92.78%       20ms  0.56%  github.com/microsoft/TypeScript/tsc/internal/binder.(*Binder).addDeclarationToSymbol
      20ms  0.56% 93.33%       30ms  0.83%  github.com/microsoft/TypeScript/tsc/internal/binder.(*Binder).newFlowNode (inline)
      20ms  0.56% 93.89%       20ms  0.56%  runtime.typePointers.nextFast (inline)
      20ms  0.56% 94.44%       20ms  0.56%  runtime.usleep
      10ms  0.28% 94.72%       30ms  0.83%  github.com/microsoft/TypeScript/tsc/internal/ast.(*NodeFactory).NewCallExpression
      10ms  0.28% 95.00%       50ms  1.39%  github.com/microsoft/TypeScript/tsc/internal/ast.(*NodeFactory).NewPropertyAccessExpression
      10ms  0.28% 95.28%       20ms  0.56%  github.com/microsoft/TypeScript/tsc/internal/ast.(*NodeFactory).NewVariableStatement
      10ms  0.28% 95.56%      130ms  3.61%  github.com/microsoft/TypeScript/tsc/internal/ast.visitNodes (inline)
      10ms  0.28% 95.83%       60ms  1.67%  github.com/microsoft/TypeScript/tsc/internal/binder.(*Binder).declareSymbolEx
      10ms  0.28% 96.11%       30ms  0.83%  runtime.wbBufFlush1
         0     0% 96.11%       30ms  0.83%  gcWriteBarrier
         0     0% 96.11%       30ms  0.83%  github.com/microsoft/TypeScript/tsc/internal/ast.(*ArrayLiteralExpression).ForEachChild (inline)
         0     0% 96.11%       70ms  1.94%  github.com/microsoft/TypeScript/tsc/internal/ast.(*ArrowFunction).ForEachChild
         0     0% 96.11%       30ms  0.83%  github.com/microsoft/TypeScript/tsc/internal/ast.(*AwaitExpression).ForEachChild (inline)
         0     0% 96.11%       70ms  1.94%  github.com/microsoft/TypeScript/tsc/internal/ast.(*CallExpression).ForEachChild
         0     0% 96.11%       20ms  0.56%  github.com/microsoft/TypeScript/tsc/internal/ast.(*ClassDeclaration).ForEachChild
         0     0% 96.11%       50ms  1.39%  github.com/microsoft/TypeScript/tsc/internal/ast.(*FunctionDeclaration).ForEachChild
         0     0% 96.11%      150ms  4.17%  github.com/microsoft/TypeScript/tsc/internal/ast.(*Node).ForEachChild
         0     0% 96.11%       20ms  0.56%  github.com/microsoft/TypeScript/tsc/internal/ast.(*NodeFactory).NewBlock
         0     0% 96.11%       20ms  0.56%  github.com/microsoft/TypeScript/tsc/internal/ast.(*NodeFactory).NewKeywordExpression
         0     0% 96.11%       30ms  0.83%  github.com/microsoft/TypeScript/tsc/internal/ast.(*NodeFactory).NewNodeList
         0     0% 96.11%       20ms  0.56%  github.com/microsoft/TypeScript/tsc/internal/ast.(*NodeFactory).NewPropertyAssignment
         0     0% 96.11%       20ms  0.56%  github.com/microsoft/TypeScript/tsc/internal/ast.(*NodeFactory).NewVariableDeclaration
         0     0% 96.11%       70ms  1.94%  github.com/microsoft/TypeScript/tsc/internal/ast.(*ObjectLiteralExpression).ForEachChild (inline)
         0     0% 96.11%       20ms  0.56%  github.com/microsoft/TypeScript/tsc/internal/ast.(*PropertyAssignment).ForEachChild
         0     0% 96.11%       70ms  1.94%  github.com/microsoft/TypeScript/tsc/internal/ast.(*SourceFile).BindOnce
